,corr_textblob,corr_vader,btc_twt_count,avg_textblob,avg_vader
Crypto,0.03,0.1,2012,0.07,0.02
Coin_Telegraph,0.18,0.17,1596,0.09,0.14
Coin_Desk,-0.0,-0.03,1017,0.09,0.16
Bitcoin,0.02,0.08,1536,0.1,0.12
BTCTN,0.04,0.07,1311,0.05,0.05
Combined_news,0.04,0.12,6161,0.07,0.06
